Date,Open,High,Low,Close,Adj Close,Volume
2/25/2019,13.91,14.9,13.44,14.85,14.85,0
2/26/2019,15.16,15.28,14.52,15.17,15.17,0
2/27/2019,15.53,16.17,14.7,14.7,14.7,0
2/28/2019,15.17,15.24,14.39,14.78,14.78,0
3/1/2019,14.57,14.84,13.41,13.57,13.57,0
3/4/2019,13.77,16.98,13.38,14.63,14.63,0
3/5/2019,14.52,15.39,14.26,14.74,14.74,0
3/6/2019,14.91,16.110001,14.74,15.74,15.74,0
3/7/2019,16.33,17.809999,15.54,16.59,16.59,0
3/8/2019,17.379999,18.33,16.02,16.049999,16.049999,0
3/11/2019,16.280001,16.43,14.33,14.33,14.33,0
3/12/2019,13.97,14.7,13.61,13.77,13.77,0
3/13/2019,14,14.05,13.25,13.41,13.41,0
3/14/2019,13.35,13.84,13.16,13.5,13.5,0
3/15/2019,13.21,13.28,12.5,12.88,12.88,0
3/18/2019,13.13,13.8,13,13.1,13.1,0
3/19/2019,12.89,13.77,12.37,13.56,13.56,0
3/20/2019,13.54,14.3,13.05,13.91,13.91,0
3/21/2019,14.11,14.56,13.26,13.63,13.63,0
3/22/2019,13.77,17.52,13.62,16.48,16.48,0
3/25/2019,17.76,17.85,16.26,16.33,16.33,0
3/26/2019,16.219999,16.299999,14.67,14.68,14.68,0
3/27/2019,14.52,16.709999,14.51,15.15,15.15,0
3/28/2019,15.38,15.62,14.41,14.43,14.43,0
3/29/2019,14.19,14.43,13.64,13.71,13.71,0
4/1/2019,13.9,14.01,13.32,13.4,13.4,0
4/2/2019,13.62,13.68,13.13,13.36,13.36,0
4/3/2019,13.06,14.27,12.85,13.74,13.74,0
4/4/2019,13.84,14.03,13.4,13.58,13.58,0
4/5/2019,13.46,13.47,12.17,12.82,12.82,0
4/8/2019,13.55,13.77,13.1,13.18,13.18,0
4/9/2019,13.46,14.39,13.31,14.28,14.28,0
4/10/2019,14.09,14.29,13.27,13.3,13.3,0
4/11/2019,13.37,13.58,12.91,13.02,13.02,0
4/12/2019,12.96,12.96,11.95,12.01,12.01,0
4/15/2019,12.46,13.14,12.24,12.32,12.32,0
4/16/2019,12.26,12.47,11.85,12.18,12.18,0
4/17/2019,12.12,13.02,11.03,12.6,12.6,0
4/18/2019,12.8,13.12,12.02,12.09,12.09,0
4/22/2019,13.21,13.36,12.38,12.42,12.42,0
4/23/2019,12.66,12.69,12.08,12.28,12.28,0
4/24/2019,12.53,13.23,12.26,13.14,13.14,0
4/25/2019,13.29,14.3,12.81,13.25,13.25,0
4/26/2019,13.44,13.62,12.49,12.73,12.73,0
4/29/2019,13.04,13.27,12.65,13.11,13.11,0
4/30/2019,13.11,14.05,12.88,13.12,13.12,0
5/1/2019,12.86,14.83,12.74,14.8,14.8,0
5/2/2019,14.35,15.92,13.8,14.42,14.42,0
5/3/2019,14.11,14.15,12.8,12.87,12.87,0
5/6/2019,12.89,18.799999,12.89,15.44,15.44,0
5/7/2019,15.9,21.84,15.8,19.32,19.32,0
5/8/2019,18.950001,21.74,18.290001,19.4,19.4,0
5/9/2019,21.4,23.379999,18.870001,19.1,19.1,0
5/10/2019,18.790001,20.190001,15.57,16.040001,16.040001,0
5/13/2019,18.620001,21.32,18.35,20.549999,20.549999,0
5/14/2019,19.4,19.65,17.450001,18.059999,18.059999,0
5/15/2019,17.57,19.15,16.41,16.440001,16.440001,0
5/16/2019,16.690001,17.129999,15.16,15.29,15.29,0
5/17/2019,15.89,16.809999,14.86,15.96,15.96,0
5/20/2019,15.88,17.629999,15.46,16.309999,16.309999,0
5/21/2019,15.86,16.219999,14.79,14.95,14.95,0
5/22/2019,15.06,15.44,14.42,14.75,14.75,0
5/23/2019,15.93,18.049999,15.28,16.92,16.92,0
5/24/2019,16.34,16.52,15.52,15.85,15.85,0
5/28/2019,16.549999,17.700001,15.9,17.5,17.5,0
5/29/2019,18.549999,19.040001,17.620001,17.9,17.9,0
5/30/2019,17.469999,18.110001,16.719999,17.299999,17.299999,0
5/31/2019,19.049999,19.719999,18.01,18.709999,18.709999,0
6/3/2019,19.41,19.75,18.16,18.860001,18.860001,0
6/4/2019,18.74,18.74,16.969999,16.969999,16.969999,0
6/5/2019,17.059999,17.49,16.040001,16.09,16.09,0
6/6/2019,16.25,16.540001,15.36,15.93,15.93,0
6/7/2019,15.65,16.440001,15.33,16.299999,16.299999,0
6/10/2019,16.299999,16.469999,15.84,15.94,15.94,0
6/11/2019,15.84,16.700001,15.5,15.99,15.99,0
6/12/2019,16.26,16.43,15.78,15.91,15.91,0
6/13/2019,16.16,16.209999,15.61,15.82,15.82,0
6/14/2019,16,16.4,15.21,15.28,15.28,0
6/17/2019,15.65,15.76,15.24,15.35,15.35,0
6/18/2019,14.89,15.54,14.62,15.15,15.15,0
6/19/2019,15.05,15.71,14.15,14.33,14.33,0
6/20/2019,14.04,16.030001,13.19,14.75,14.75,0
6/21/2019,14.74,15.48,14.42,15.4,15.4,0
6/24/2019,15.46,15.56,15.23,15.26,15.26,0
6/25/2019,15.43,16.68,15.1,16.280001,16.280001,0
6/26/2019,16.1,16.6,15.47,16.209999,16.209999,0
6/27/2019,15.66,16.4,15.66,15.82,15.82,0
6/28/2019,15.7,16.129999,15.08,15.08,15.08,0
